ID,Name,Proponent,Project Type,AFOLU Activities,Methodology,Status,Country/Area,Estimated Annual Emission Reductions,Region,Project Registration Date,Crediting Period Start Date,Crediting Period End Date
2592,Hongya MSW landfill site biogas power generation project,"Henan BCCY Environmental Energy CO.,LTD.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-I.D.; AMS-III.G.,Registered,China,52132,Asia,2022-01-31,2021-04-02,2031-04-01
2593,Botou Hengjie MSW landfill site LFG comprehensive utilization project,"Henan BCCY Environmental Energy CO.,LTD.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-I.D.; AMS-III.G.,Registered,China,35034,Asia,2022-04-21,2020-11-10,2030-11-09
2591,Yongkang huachuan MSW landfill site LFG comprehensive utilization project,"Henan BCCY Environmental Energy CO.,LTD.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-I.D.; AMS-III.G.,Registered,China,48363,Asia,2022-08-10,2020-09-09,2030-09-08
2582,Zhijiang Shibaoshan LFG Power Generation Project,"Zhijiang Xinzhongshui Chufeng Environmental Protection Technology Co., Ltd",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-I.D.; AMS-III.G.,Registered,China,44138,Asia,2022-03-07,2021-01-11,2031-01-10
2565,Yunnan Qiubei Afforestation Project,Multiple Proponents,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Registered,China,135706,Asia,2022-12-15,2017-06-01,2077-05-31
2537,Gansu Gaotai Biogas Recovery and Utilization Project,"Gansu Founder Energy Conservation Sci&Tech Service Co., Ltd.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-III.D.,Registered,China,31631,Asia,2021-12-16,2019-11-01,2026-10-31
2525,Ziyang LFG Power Generation Project,Ziyang Oasis Xinzhongshui Environmental Protection Technology Co. Ltd.,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0001,Registered,China,81291,Asia,2022-03-29,2020-03-15,2030-03-14
2520,Nanjing Landsea Green Center Building Energy Efficiency Project,Nanjing Langtong Commercial Real Estate Operation Management Co. Ltd.,Energy demand; Energy industries (renewable/non-renewable sources),,AMS-II.E.,Registered,China,1442,Asia,2022-03-25,2022-06-01,2032-05-31
2516,Lianyuan LFG Power Generation Project,"Lianyuan Xinzhongshui Environmental Protection Technology Co., Ltd.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-I.D.; AMS-III.G.,Registered,China,40563,Asia,2022-03-04,2021-01-01,2030-12-31
2504,Adjusted Water Management in Rice Cultivation in Xuanzhou District,"Hefei Luyu Agricultural Technology Co., Ltd",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Registered,China,58064,Asia,2021-12-23,2018-02-25,2025-02-24
2506,Adjusted Water Management in Rice Cultivation In Northern Lujiang County,"Hefei Luyu Agricultural Technology Co., Ltd",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Registered,China,59282,Asia,2021-09-14,2018-03-20,2025-03-19
2507,Adjusted Water Management in Rice Cultivation In Southern Lujiang County,"Hefei Luyu Agricultural Technology Co., Ltd",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Registered,China,59043,Asia,2021-09-14,2018-03-14,2025-03-13
2503,Liling LFG Power Generation Project,"Zhuzhou Xinzhongshui Environmental Protection Technology Co., Ltd.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0001,Registered,China,96472,Asia,2021-10-29,2020-10-12,2030-10-11
2499,Guangzhou Huadu Shiling LFG Power Generation Project,"Guangzhou Zhongshui Recycling Environmental Protection Technology Co., Ltd.",Waste handling and disposal,,ACM0001,Registered,China,143339,Asia,2021-08-06,2020-01-09,2030-01-08
2476,Huaining Adjusted Water Management in Rice Cultivation,"Hefei Luyu Agricultural Technology Co., Ltd",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Registered,China,58041,Asia,2021-09-14,2018-03-02,2025-03-01
2477,Wanfan Adjusted Water Management in Rice Cultivation,"Hefei Luyu Agricultural Technology Co., Ltd",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Registered,China,59986,Asia,2021-09-14,2018-03-03,2025-03-02
2468,Gaizhou Landfill Gas Power Generation Project,"Gaizhou Xinzhongshui Environmental Protection Technology Co., Ltd.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0001,Registered,China,135979,Asia,2021-07-23,2021-01-05,2031-01-04
2464,Nanning Landfill Gas Power Generation Project,"Guangxi Ruirong Energy Technology Co., Ltd.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0001,Registered,China,231811,Asia,2021-06-24,2020-04-03,2030-04-02
2458,Guoluo Grassland Sustainable Management Project,"Qinghai Guanglv Landscaping Co., Ltd.",Agriculture Forestry and Other Land Use,ARR,VM0026,Registered,China,456953,Asia,2021-12-18,2016-06-20,2056-06-19
2455,Haicheng Landfill Gas Power Generation Project,"Haicheng Xinzhongshui Environmental Protection Technology Co., Ltd",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0001,Registered,China,81914,Asia,2021-08-05,2019-09-09,2029-09-08
2452,Laizhou Landfill Gas Power Generation Project,"Laizhou Xinzhongshui Environmental Protection Technology Co., Ltd.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0001,Registered,China,78184,Asia,2021-06-24,2019-05-18,2029-05-17
2451,Shanxi Loufan Afforestation Project,Loufan County Forestry Workstation,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Registered,China,163968,Asia,2021-12-01,2016-09-30,2076-09-29
2418,Gansu Lanzhou Afforestation Project,Lanzhou Landscaping And Greening Service Center,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Registered,China,117640,Asia,2021-12-23,2016-09-13,2076-09-12
2408,Baoxing Afforestation Project,Sichuan Jiajinshan Forestry Bureau,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Registered,China,156954,Asia,2022-01-07,2016-09-01,2043-08-31
2405,Gansu Dingxi Afforestation Project,Dingxi City Chankou Forestry Proving Ground,Agriculture Forestry and Other Land Use,ARR; IFM,AR-ACM0003,Registered,China,706810,Asia,2021-11-29,2016-09-22,2076-09-21
2402,Linshu Biogas Recovery and Power Generation Project,VPOWER New Energy Technology (LinYi) LTD,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0014,Registered,China,359691,Asia,2021-08-04,2019-09-20,2026-09-19
2398,Qiantai Adjusted Water Management in Rice Cultivation,"Hefei Luyu Agricultural Technology Co., Ltd",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Registered,China,53512,Asia,2021-10-20,2018-02-24,2025-02-23
2396,Adjusted Water Management in Rice Cultivation in Nanling County,"Hefei Luyu Agricultural Technology Co., Ltd",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Registered,China,53558,Asia,2021-09-14,2018-03-05,2025-03-04
2399,Adjusted Water Management in Rice Cultivation in Wangjiang County and Susong County,"Hefei Luyu Agricultural Technology Co., Ltd",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Registered,China,53562,Asia,2021-11-10,2018-03-04,2025-03-03
2397,Adjusted Water Management in Rice Cultivation in Chizhou City,"Hefei Luyu Agricultural Technology Co., Ltd",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Registered,China,53539,Asia,2021-09-13,2018-02-21,2025-02-20
2391,Gansu Tianshui Afforestation Project,Tianshui Forestry Science Institute,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Registered,China,342003,Asia,2022-06-03,2016-09-21,2076-09-20
2387,Liugui Afforestation Project,"Guangxi Baixin Agricultural Technology Co., Ltd.",Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Registered,China,878138,Asia,2021-09-02,2016-05-05,2046-05-04
2383,Guizhou Wenjiaba CMM Power Generation Project,"Guizhou Shuikuang Orion Clean Energy Co., Ltd.",Energy industries (renewable/non-renewable sources); Mining/mineral production,,ACM0008,Registered,China,103297,Asia,2022-03-31,2020-09-24,2030-09-23
2378,Miaoling Afforestation Project,"Guizhou Xinzhanxin Agricultural Technology Co., Ltd.",Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Registered,China,458449,Asia,2021-08-06,2016-04-20,2046-04-19
2379,Huadu Afforestation Project,"Guizhou Xinzhanxin Agricultural Technology Co., Ltd.",Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Registered,China,702405,Asia,2021-11-05,2016-04-28,2046-04-27
2375,Jilin Sanchazi Afforestation Project,"Jilin Forest Industry Environmental Technology Co., Ltd.",Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Registered,China,10576,Asia,2021-08-13,2016-08-15,2076-08-14
2370,Zhangye City Afforestation Project in Gansu Province,Zhangye Academy of Forestry Sciences,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Registered,China,238392,Asia,2021-08-13,2016-05-10,2076-05-09
2362,Adjusted Water Management in Rice Cultivation in Tongcheng City,"Shanghai Libra Investment & Management Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Registered,China,53501,Asia,2021-03-09,2018-02-10,2025-02-09
2358,Nanchang Zhonglan Huanneng Technical Service Co. Ltd. Maiyuan LFG Power Generation Project,Nanchang Zhonglan Huanneng Technical Service Co. Ltd.,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0001,Registered,China,155699,Asia,2021-04-10,2019-01-01,2028-12-31
2355,Suzhou Qizishan MSW landfill site redundant LFG recovery to power project,"Suzhou Baichang Renewable Energy Co., Ltd.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0001,Registered,China,40317,Asia,2021-08-25,2020-12-01,2030-11-30
2354,Yichang Sunjiawan MSW landfill site LFG recovery to power project,"Yichang BCCY New Power Co., Ltd.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0001,Registered,China,50653,Asia,2021-04-28,2019-05-01,2029-04-30
2352,Shizaiqian MSW landfill site LFG recovery to power project,"Quanzhou BCCY New Energy CO., Ltd.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0001,Registered,China,66269,Asia,2022-03-08,2019-07-01,2029-06-30
2353,Qingdao Xiaojianxi Phase II MSW landfill site LFG recovery to power project,"Henan BCCY Environmental Energy CO.,LTD.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0001,Registered,China,73157,Asia,2021-04-30,2019-04-13,2029-04-12
2343,Zhanjiang Mangrove Afforestation Project,"Third Institute of Oceanography, Ministry of Natural Resources",Agriculture Forestry and Other Land Use,ARR,AR-AM0014,Registered,China,4020,Asia,2021-03-19,2015-04-30,2055-04-29
2337,Sanya Landfill Gas Power Generation Project,"Hainan Sanya Xinzhongshui Enviromental Protection Technology Co., Ltd.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0001,Registered,China,89751,Asia,2020-12-02,2019-03-22,2029-03-21
2335,Zhangjiakou Landfill Gas Power Generation Project,Zhangjiakou Xinzhongshui Energy Technology Ltd.,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0001,Registered,China,137156,Asia,2020-11-11,2019-01-03,2029-01-02
2326,Guangxi Jinxiu IFM (conversion  of  logged  to  protected  forest)  Project,"Jinxiu Yao Autonomous County Zhengtong Asset Management Co., Ltd",Agriculture Forestry and Other Land Use,IFM,VM0010,Registered,China,58501,Asia,2022-07-12,2016-03-01,2036-02-29
