"Vintage","Credit Status","Quantity","GSID","Project Name","Project Developer","Country","Project Type","Methodology","Programme of Activities","POA GSID","Product Type","Issuance Date","Monitoring Period Start","Monitoring Period End","Serial Number","Eligible for CORSIA?","Retired for CORSIA?","CORSIA Authorisation","Aeroplane Operator Name"
"2016","Issued","257","482","Longhe 1.03MW Hydro Power Project","Climate Bridge (Shanghai) Ltd.","China","Small, Low - Impact Hydro","ACM0002 Grid-connected electricity generation from renewable sources","Standalone",,"VER","2016-06-24T00:00","2014-07-28","2016-02-09","GS1-1-CN-GS482-14-2016-5103-1-257","No","No","Not Applicable",
"2014","Issued","678","518","Diyao 1MW Hydro Power Project","Climate Bridge (Shanghai) Ltd.","China","Small, Low - Impact Hydro","ACM0002 Grid-connected electricity generation from renewable sources","Standalone",,"VER","2016-06-24T00:00","2014-07-28","2016-03-11","GS1-1-CN-GS518-14-2014-5102-1-678","No","No","Not Applicable",
"2015","Issued","2680","518","Diyao 1MW Hydro Power Project","Climate Bridge (Shanghai) Ltd.","China","Small, Low - Impact Hydro","ACM0002 Grid-connected electricity generation from renewable sources","Standalone",,"VER","2016-06-24T00:00","2014-07-28","2016-03-11","GS1-1-CN-GS518-14-2015-5101-1-2680","No","No","Not Applicable",
"2016","Issued","433","518","Diyao 1MW Hydro Power Project","Climate Bridge (Shanghai) Ltd.","China","Small, Low - Impact Hydro","ACM0002 Grid-connected electricity generation from renewable sources","Standalone",,"VER","2016-06-24T00:00","2014-07-28","2016-03-11","GS1-1-CN-GS518-14-2016-5100-1-433","No","No","Not Applicable",
"2013","Issued","378583","949","Clean and Efficient Cooking and Heating Project China","Impact Carbon","China","Energy Efficiency - Domestic","GS Methodology for Improved Cook stoves and Kitchen Regimes v2.","Standalone",,"VER","2016-06-09T00:00","2013-03-01","2015-02-28","GS1-1-CN-GS949-16-2013-5071-1-378583","No","No","Not Applicable",
"2014","Issued","508427","949","Clean and Efficient Cooking and Heating Project China","Impact Carbon","China","Energy Efficiency - Domestic","GS Methodology for Improved Cook stoves and Kitchen Regimes v2.","Standalone",,"VER","2016-06-09T00:00","2013-03-01","2015-02-28","GS1-1-CN-GS949-16-2014-5070-1-508427","No","No","Not Applicable",
"2015","Issued","88694","949","Clean and Efficient Cooking and Heating Project China","Impact Carbon","China","Energy Efficiency - Domestic","GS Methodology for Improved Cook stoves and Kitchen Regimes v2.","Standalone",,"VER","2016-06-09T00:00","2013-03-01","2015-02-28","GS1-1-CN-GS949-16-2015-5069-1-88694","No","No","Not Applicable",
"2015","Issued","20424","835","Hunan Guanbaodu-Liangjiangkou Small-scale Hydropower Bundle Project","Climate Bridge (Shanghai) Ltd.","China","Small, Low - Impact Hydro","ACM0002 Grid-connected electricity generation from renewable sources","Standalone",,"VER","2016-04-29T00:00","2014-08-01","2015-12-31","GS1-1-CN-GS835-14-2015-5015-1-20424","No","No","Not Applicable",
"2014","Issued","5339","835","Hunan Guanbaodu-Liangjiangkou Small-scale Hydropower Bundle Project","Climate Bridge (Shanghai) Ltd.","China","Small, Low - Impact Hydro","ACM0002 Grid-connected electricity generation from renewable sources","Standalone",,"VER","2016-04-29T00:00","2014-08-01","2015-12-31","GS1-1-CN-GS835-14-2014-5014-1-5339","No","No","Not Applicable",
"2013","Issued","195","2678","Huili Shubaoxiang Solar PV Power Generation Phase I Project","Climate Bridge (Shanghai) Ltd.","China","Solar Thermal - Electricity","AMS-I.D. Grid connected renewable electricity generation","Standalone",,"VER","2016-04-27T00:00","2013-12-26","2015-07-31","GS1-1-CN-GS2678-1-2013-5006-1-195","No","No","Not Applicable",
"2014","Issued","13598","2678","Huili Shubaoxiang Solar PV Power Generation Phase I Project","Climate Bridge (Shanghai) Ltd.","China","Solar Thermal - Electricity","AMS-I.D. Grid connected renewable electricity generation","Standalone",,"VER","2016-04-27T00:00","2013-12-26","2015-07-31","GS1-1-CN-GS2678-1-2014-5005-1-13598","No","No","Not Applicable",
"2015","Issued","8824","2678","Huili Shubaoxiang Solar PV Power Generation Phase I Project","Climate Bridge (Shanghai) Ltd.","China","Solar Thermal - Electricity","AMS-I.D. Grid connected renewable electricity generation","Standalone",,"VER","2016-04-27T00:00","2013-12-26","2015-07-31","GS1-1-CN-GS2678-1-2015-5004-1-8824","No","No","Not Applicable",
"2013","Issued","248","2679","Ulan Phase II 10MWp Solar PV Project","Climate Bridge (Shanghai) Ltd.","China","Solar Thermal - Electricity","AMS-I.D. Grid connected renewable electricity generation","Standalone",,"VER","2016-04-18T00:00","2013-12-20","2015-10-31","GS1-1-CN-GS2679-1-2013-5001-1-248","No","No","Not Applicable",
"2014","Issued","14389","2679","Ulan Phase II 10MWp Solar PV Project","Climate Bridge (Shanghai) Ltd.","China","Solar Thermal - Electricity","AMS-I.D. Grid connected renewable electricity generation","Standalone",,"VER","2016-04-18T00:00","2013-12-20","2015-10-31","GS1-1-CN-GS2679-1-2014-5000-1-14389","No","No","Not Applicable",
"2015","Issued","11612","2679","Ulan Phase II 10MWp Solar PV Project","Climate Bridge (Shanghai) Ltd.","China","Solar Thermal - Electricity","AMS-I.D. Grid connected renewable electricity generation","Standalone",,"VER","2016-04-18T00:00","2013-12-20","2015-10-31","GS1-1-CN-GS2679-1-2015-4999-1-11612","No","No","Not Applicable",
"2014","Issued","53306","2588","Zhangbei Danjinghe Phase III 49.5MW Wind Power Project","Goldchina Consultancy International Co. Ltd","China","Wind","ACM0002 Grid-connected electricity generation from renewable sources","Standalone",,"VER","2016-04-18T00:00","2014-06-15","2015-10-31","GS1-1-CN-GS2588-12-2014-4998-1-53306","No","No","Not Applicable",
"2015","Issued","88919","2588","Zhangbei Danjinghe Phase III 49.5MW Wind Power Project","Goldchina Consultancy International Co. Ltd","China","Wind","ACM0002 Grid-connected electricity generation from renewable sources","Standalone",,"VER","2016-04-18T00:00","2014-06-15","2015-10-31","GS1-1-CN-GS2588-12-2015-4997-1-88919","No","No","Not Applicable",
"2013","Issued","1440","1101","Zhongshan County Micro Hydro Project Bundle No.3","Swiss Carbon Value Ltd.","China","Small, Low - Impact Hydro","AMS-I.D. Grid connected renewable electricity generation","Standalone",,"VER","2016-03-22T00:00","2013-07-29","2015-08-28","GS1-1-CN-GS1101-14-2013-4925-1-1440","No","No","Not Applicable",
